                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2065,                 3.2813,                 2.8118,                0.58767,                0.30893,                0.24626,                0.12733,                  3.341,                 3.5467,                 2.9173,             0.00056911,             0.00056911,             0.00056911
                     35,                 3.1698,                 3.1828,                 2.8148,                0.50994,                0.34602,                0.23598,                0.12302,                 3.3346,                 3.4614,                 2.8947,             0.00056086,             0.00056086,             0.00056086
                     36,                 3.1495,                 3.1651,                 2.7775,                0.56847,                 0.2601,                0.24211,                0.13064,                 3.2866,                 3.4105,                  2.873,             0.00055261,             0.00055261,             0.00055261
                     37,                 3.0899,                 3.0909,                 2.7504,                0.48039,                0.26211,                 0.2629,                0.14347,                 3.2791,                 3.3832,                 2.8469,             0.00054437,             0.00054437,             0.00054437
                     38,                  3.138,                 3.1638,                 2.7665,                0.47137,                0.33666,                0.24978,                0.13742,                 3.2643,                 3.3973,                 2.8839,             0.00053612,             0.00053612,             0.00053612
                     39,                 3.1177,                 3.1098,                 2.7417,                 0.4912,                0.29481,                0.24161,                0.12984,                 3.3253,                 3.4274,                 2.8786,             0.00052787,             0.00052787,             0.00052787
                     40,                 3.0596,                 3.0244,                 2.7175,                0.41221,                0.36584,                0.27081,                0.14369,                 3.2981,                 3.4187,                 2.9111,             0.00051963,             0.00051963,             0.00051963
                     41,                 3.0331,                 2.9948,                 2.7003,                0.49617,                0.28787,                0.26196,                0.13762,                 3.3062,                 3.3708,                 2.8845,             0.00051138,             0.00051138,             0.00051138
                     42,                 3.0354,                 3.0276,                 2.7113,                0.49265,                0.28687,                0.27333,                0.14649,                 3.3093,                 3.2652,                 2.8869,             0.00050313,             0.00050313,             0.00050313
                     43,                 3.0334,                 2.9824,                 2.6951,                0.33192,                0.31066,                0.25115,                0.13113,                 3.3501,                 3.4157,                 2.9243,             0.00049489,             0.00049489,             0.00049489
                     44,                 3.0487,                 2.9818,                 2.7226,                0.36938,                0.31296,                0.22244,                0.11528,                 3.3517,                 3.3187,                 2.9108,             0.00048664,             0.00048664,             0.00048664
                     45,                 2.9868,                 2.8784,                  2.663,                 0.4769,                0.28593,                0.25684,                0.14171,                 3.3622,                  3.207,                 2.9236,             0.00047839,             0.00047839,             0.00047839
